ke	ensembl
https://identifiers.org/aop.events/1709	ENSG00000186847
https://identifiers.org/aop.events/1710	ENSG00000174951
https://identifiers.org/aop.events/1711	ENSG00000168036
https://identifiers.org/aop.events/1711	ENSG00000124882
https://identifiers.org/aop.events/1711	ENSG00000107485
https://identifiers.org/aop.events/1712	ENSG00000113520
https://identifiers.org/aop.events/1714	ENSG00000243649
https://identifiers.org/aop.events/1714	ENSG00000174951
https://identifiers.org/aop.events/1715	ENSG00000164136
https://identifiers.org/aop.events/1715	ENSG00000109471
https://identifiers.org/aop.events/1715	ENSG00000113520
https://identifiers.org/aop.events/1715	ENSG00000104432
https://identifiers.org/aop.events/1715	ENSG00000145839
https://identifiers.org/aop.events/1715	ENSG00000162434
https://identifiers.org/aop.events/1715	ENSG00000096968
https://identifiers.org/aop.events/1715	ENSG00000105639
https://identifiers.org/aop.events/1718	ENSG00000010610
https://identifiers.org/aop.events/1718	ENSG00000109471
https://identifiers.org/aop.events/1718	ENSG00000113520
https://identifiers.org/aop.events/1719	ENSG00000015475
https://identifiers.org/aop.events/1719	ENSG00000126759
https://identifiers.org/aop.events/1719	ENSG00000109471
https://identifiers.org/aop.events/1719	ENSG00000136244
https://identifiers.org/aop.events/1720	ENSG00000062485
https://identifiers.org/aop.events/1720	ENSG00000164010
https://identifiers.org/aop.events/1721	ENSG00000187094
https://identifiers.org/aop.events/1722	ENSG00000187094
https://identifiers.org/aop.events/1722	ENSG00000151882
https://identifiers.org/aop.events/1722	ENSG00000184574
https://identifiers.org/aop.events/1723	ENSG00000005187
https://identifiers.org/aop.events/1723	ENSG00000085662
https://identifiers.org/aop.events/1723	ENSG00000169083
https://identifiers.org/aop.events/1723	ENSG00000187094
https://identifiers.org/aop.events/1723	ENSG00000151882
https://identifiers.org/aop.events/1723	ENSG00000184502
https://identifiers.org/aop.events/1724	ENSG00000005187
https://identifiers.org/aop.events/1724	ENSG00000085662
https://identifiers.org/aop.events/1724	ENSG00000169083
https://identifiers.org/aop.events/1724	ENSG00000187094
https://identifiers.org/aop.events/1724	ENSG00000151882
https://identifiers.org/aop.events/1724	ENSG00000184502
https://identifiers.org/aop.events/1725	ENSG00000187094
https://identifiers.org/aop.events/1725	ENSG00000151882
https://identifiers.org/aop.events/1725	ENSG00000122783
https://identifiers.org/aop.events/1754	ENSG00000066044
https://identifiers.org/aop.events/1759	ENSG00000138798
https://identifiers.org/aop.events/1760	ENSG00000139269
https://identifiers.org/aop.events/18	ENSG00000106546
https://identifiers.org/aop.events/1822	ENSG00000169896
https://identifiers.org/aop.events/1841	ENSG00000182871
https://identifiers.org/aop.events/1841	ENSG00000122783
https://identifiers.org/aop.events/1848	ENSG00000197919
https://identifiers.org/aop.events/258	ENSG00000026103
https://identifiers.org/aop.events/258	ENSG00000169710
https://identifiers.org/aop.events/26	ENSG00000085662
https://identifiers.org/aop.events/26	ENSG00000169083
https://identifiers.org/aop.events/264	ENSG00000278540
https://identifiers.org/aop.events/264	ENSG00000026103
https://identifiers.org/aop.events/264	ENSG00000169710
https://identifiers.org/aop.events/264	ENSG00000106633
