"__glayCluster","interaction","KER","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
,"pp",,"9606.ENSP00000365757 (pp) 9606.ENSP00000428056","false","pp","9606.ENSP00000365757 (pp) 9606.ENSP00000428056","0.057",,"0.907",,,,,"0.921","0.178"
,"pp",,"9606.ENSP00000387549 (pp) 9606.ENSP00000496339","false","pp","9606.ENSP00000387549 (pp) 9606.ENSP00000496339",,"0.057","0.9",,,,,"0.904","0.072"
"0","pp",,"9606.ENSP00000335074 (pp) 9606.ENSP00000354859","false","pp","9606.ENSP00000335074 (pp) 9606.ENSP00000354859","0.202",,"0.65",,,,,"0.954","0.849"
,"pp",,"9606.ENSP00000335074 (pp) 9606.ENSP00000354652","false","pp","9606.ENSP00000335074 (pp) 9606.ENSP00000354652",,,"0.65",,,,,"0.921","0.786"
,"pp",,"9606.ENSP00000335074 (pp) 9606.ENSP00000379472","false","pp","9606.ENSP00000335074 (pp) 9606.ENSP00000379472",,,"0.4",,,,,"0.958","0.933"
,"pp",,"9606.ENSP00000335074 (pp) 9606.ENSP00000384364","false","pp","9606.ENSP00000335074 (pp) 9606.ENSP00000384364","0.086",,,,,,,"0.983","0.983"
,"pp",,"9606.ENSP00000335074 (pp) 9606.ENSP00000376637","false","pp","9606.ENSP00000335074 (pp) 9606.ENSP00000376637","0.044",,"0.75",,,,,"0.948","0.803"
,"pp",,"9606.ENSP00000407685 (pp) 9606.ENSP00000452786","false","pp","9606.ENSP00000407685 (pp) 9606.ENSP00000452786","0.055",,"0.9",,,,,"0.913","0.161"
"0","pp",,"9606.ENSP00000339435 (pp) 9606.ENSP00000385205","false","pp","9606.ENSP00000339435 (pp) 9606.ENSP00000385205",,,,,,,,"0.918","0.918"
,"pp",,"9606.ENSP00000339435 (pp) 9606.ENSP00000381231","false","pp","9606.ENSP00000339435 (pp) 9606.ENSP00000381231","0.057",,"0.929",,,,"0.074","0.948","0.267"
,"pp",,"9606.ENSP00000270458 (pp) 9606.ENSP00000282499","false","pp","9606.ENSP00000270458 (pp) 9606.ENSP00000282499","0.086",,"0.72","0.511",,,,"0.936","0.553"
,"pp",,"9606.ENSP00000270458 (pp) 9606.ENSP00000296526","false","pp","9606.ENSP00000270458 (pp) 9606.ENSP00000296526","0.106",,"0.72","0.878",,,,"0.994","0.853"
,"pp",,"9606.ENSP00000270458 (pp) 9606.ENSP00000272133","false","pp","9606.ENSP00000270458 (pp) 9606.ENSP00000272133","0.067",,"0.72","0.502",,,,"0.917","0.441"
,"pp",,"9606.ENSP00000270458 (pp) 9606.ENSP00000420443","false","pp","9606.ENSP00000270458 (pp) 9606.ENSP00000420443",,,,"0.186",,,,"0.921","0.908"
,"pp",,"9606.ENSP00000270458 (pp) 9606.ENSP00000497806","false","pp","9606.ENSP00000270458 (pp) 9606.ENSP00000497806","0.092",,"0.54","0.11",,,,"0.901","0.765"
,"pp",,"9606.ENSP00000270458 (pp) 9606.ENSP00000365441","false","pp","9606.ENSP00000270458 (pp) 9606.ENSP00000365441","0.045",,"0.9",,,,,"0.92","0.23"
,"pp",,"9606.ENSP00000270458 (pp) 9606.ENSP00000481554","false","pp","9606.ENSP00000270458 (pp) 9606.ENSP00000481554","0.084",,"0.72","0.511",,,,"0.936","0.553"
,"pp",,"9606.ENSP00000270458 (pp) 9606.ENSP00000428994","false","pp","9606.ENSP00000270458 (pp) 9606.ENSP00000428994","0.086",,"0.72","0.885",,,,"0.996","0.882"
,"pp",,"9606.ENSP00000455791 (pp) 9606.ENSP00000477310","false","pp","9606.ENSP00000455791 (pp) 9606.ENSP00000477310","0.059",,"0.54","0.474",,,,"0.946","0.794"
,"pp",,"9606.ENSP00000478887 (pp) 9606.ENSP00000497594","false","pp","9606.ENSP00000478887 (pp) 9606.ENSP00000497594",,,,"0.124",,,,"0.935","0.929"
,"pp",,"9606.ENSP00000478887 (pp) 9606.ENSP00000501092","false","pp","9606.ENSP00000478887 (pp) 9606.ENSP00000501092","0.085",,"0.5","0.292",,,,"0.938","0.832"
,"pp",,"9606.ENSP00000478887 (pp) 9606.ENSP00000495360","false","pp","9606.ENSP00000478887 (pp) 9606.ENSP00000495360","0.058",,"0.5","0.567",,,,"0.985","0.937"
,"pp",,"9606.ENSP00000365770 (pp) 9606.ENSP00000381231","false","pp","9606.ENSP00000365770 (pp) 9606.ENSP00000381231",,,,,,,"0.109","0.956","0.953"
,"pp",,"9606.ENSP00000365770 (pp) 9606.ENSP00000498336","false","pp","9606.ENSP00000365770 (pp) 9606.ENSP00000498336","0.104",,"0.938",,,,"0.12","0.996","0.932"
,"pp",,"9606.ENSP00000233078 (pp) 9606.ENSP00000284073","false","pp","9606.ENSP00000233078 (pp) 9606.ENSP00000284073","0.047","0.106","0.9",,,,,"0.909","0.067"
,"pp",,"9606.ENSP00000399511 (pp) 9606.ENSP00000403888","false","pp","9606.ENSP00000399511 (pp) 9606.ENSP00000403888","0.044",,,"0.612",,,,"0.902","0.759"
"0","pp",,"9606.ENSP00000340874 (pp) 9606.ENSP00000341189","false","pp","9606.ENSP00000340874 (pp) 9606.ENSP00000341189","0.056",,,"0.897",,,,"0.914","0.193"
"0","pp",,"9606.ENSP00000340874 (pp) 9606.ENSP00000495360","false","pp","9606.ENSP00000340874 (pp) 9606.ENSP00000495360","0.055",,"0.5",,,,,"0.939","0.882"
,"pp",,"9606.ENSP00000340874 (pp) 9606.ENSP00000435712","false","pp","9606.ENSP00000340874 (pp) 9606.ENSP00000435712","0.055",,,"0.071",,,,"0.969","0.968"
,"pp",,"9606.ENSP00000347032 (pp) 9606.ENSP00000365757","false","pp","9606.ENSP00000347032 (pp) 9606.ENSP00000365757","0.042","0.058","0.9","0.737",,,,"0.973","0.065"
,"pp",,"9606.ENSP00000347032 (pp) 9606.ENSP00000362924","false","pp","9606.ENSP00000347032 (pp) 9606.ENSP00000362924","0.042",,"0.9",,,,,"0.903","0.069"
,"pp",,"9606.ENSP00000347032 (pp) 9606.ENSP00000409667","false","pp","9606.ENSP00000347032 (pp) 9606.ENSP00000409667","0.049",,"0.9","0.068",,,,"0.919","0.203"
,"pp",,"9606.ENSP00000347032 (pp) 9606.ENSP00000501150","false","pp","9606.ENSP00000347032 (pp) 9606.ENSP00000501150","0.056",,"0.906",,,,,"0.922","0.192"
,"pp",,"9606.ENSP00000347032 (pp) 9606.ENSP00000361021","false","pp","9606.ENSP00000347032 (pp) 9606.ENSP00000361021","0.063",,"0.9","0.069",,,,"0.919","0.186"
,"pp",,"9606.ENSP00000347032 (pp) 9606.ENSP00000428056","false","pp","9606.ENSP00000347032 (pp) 9606.ENSP00000428056","0.042",,"0.907",,,,,"0.913","0.114"
,"pp",,"9606.ENSP00000305632 (pp) 9606.ENSP00000306138","false","pp","9606.ENSP00000305632 (pp) 9606.ENSP00000306138",,,"0.5","0.096",,,,"0.965","0.93"
,"pp",,"9606.ENSP00000305632 (pp) 9606.ENSP00000334382","false","pp","9606.ENSP00000305632 (pp) 9606.ENSP00000334382","0.055","0.065","0.9","0.837",,,,"0.991","0.508"
,"pp",,"9606.ENSP00000430432 (pp) 9606.ENSP00000440542","false","pp","9606.ENSP00000430432 (pp) 9606.ENSP00000440542","0.115",,"0.9","0.929",,,,"0.999","0.994"
,"pp",,"9606.ENSP00000430432 (pp) 9606.ENSP00000442788","false","pp","9606.ENSP00000430432 (pp) 9606.ENSP00000442788",,,,"0.095",,,,"0.989","0.989"
"0","pp",,"9606.ENSP00000398698 (pp) 9606.ENSP00000496959","false","pp","9606.ENSP00000398698 (pp) 9606.ENSP00000496959","0.178",,,,,,,"0.909","0.894"
"0","pp",,"9606.ENSP00000398698 (pp) 9606.ENSP00000474412","false","pp","9606.ENSP00000398698 (pp) 9606.ENSP00000474412","0.203",,"0.4",,,,,"0.96","0.924"
"0","pp",,"9606.ENSP00000398698 (pp) 9606.ENSP00000412237","false","pp","9606.ENSP00000398698 (pp) 9606.ENSP00000412237","0.235",,"0.4",,,,,"0.992","0.984"
,"pp",,"9606.ENSP00000398698 (pp) 9606.ENSP00000498466","false","pp","9606.ENSP00000398698 (pp) 9606.ENSP00000498466","0.128",,,"0.292",,,,"0.997","0.997"
,"pp",,"9606.ENSP00000398698 (pp) 9606.ENSP00000451828","false","pp","9606.ENSP00000398698 (pp) 9606.ENSP00000451828","0.074",,,"0.057",,,,"0.907","0.903"
,"pp",,"9606.ENSP00000398698 (pp) 9606.ENSP00000403495","false","pp","9606.ENSP00000398698 (pp) 9606.ENSP00000403495","0.224","0.11","0.9","0.292",,,,"0.984","0.731"
,"pp",,"9606.ENSP00000398698 (pp) 9606.ENSP00000427514","false","pp","9606.ENSP00000398698 (pp) 9606.ENSP00000427514","0.072",,"0.75",,,,,"0.926","0.709"
,"pp",,"9606.ENSP00000398698 (pp) 9606.ENSP00000441543","false","pp","9606.ENSP00000398698 (pp) 9606.ENSP00000441543","0.066",,"0.5","0.994",,,,"0.998","0.532"
"0","pp",,"9606.ENSP00000351520 (pp) 9606.ENSP00000355493","false","pp","9606.ENSP00000351520 (pp) 9606.ENSP00000355493",,,"0.9",,,,,"0.909","0.129"
"0","pp",,"9606.ENSP00000380921 (pp) 9606.ENSP00000441543","false","pp","9606.ENSP00000380921 (pp) 9606.ENSP00000441543",,,"0.5","0.982",,,,"0.991","0.078"
"0","pp",,"9606.ENSP00000380921 (pp) 9606.ENSP00000478771","false","pp","9606.ENSP00000380921 (pp) 9606.ENSP00000478771",,,"0.5","0.9",,,,"0.947",
"0","pp",,"9606.ENSP00000380921 (pp) 9606.ENSP00000388107","false","pp","9606.ENSP00000380921 (pp) 9606.ENSP00000388107","0.045",,"0.5","0.9",,,,"0.948",
,"pp",,"9606.ENSP00000380921 (pp) 9606.ENSP00000384675","false","pp","9606.ENSP00000380921 (pp) 9606.ENSP00000384675","0.062",,"0.8","0.296",,,,"0.915","0.436"
,"pp",,"9606.ENSP00000263754 (pp) 9606.ENSP00000478887","false","pp","9606.ENSP00000263754 (pp) 9606.ENSP00000478887",,,"0.5","0.352",,,,"0.99","0.972"
,"pp",,"9606.ENSP00000263754 (pp) 9606.ENSP00000430432","false","pp","9606.ENSP00000263754 (pp) 9606.ENSP00000430432","0.063",,"0.5","0.183",,,,"0.95","0.886"
,"pp",,"9606.ENSP00000263754 (pp) 9606.ENSP00000362649","false","pp","9606.ENSP00000263754 (pp) 9606.ENSP00000362649","0.063",,"0.5","0.183",,,,"0.976","0.947"
,"pp",,"9606.ENSP00000263754 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000263754 (pp) 9606.ENSP00000269305",,,,"0.903",,,,"0.985","0.855"
