term_id,p_values,significant,term_size,query_sizes,intersection_sizes,source,term_name,effective_domain_size,source_order,parents,highlighted
HPA:0450613,0.0174729867624709,TRUE,7,1,1,HPA,skin; sebaceous cells[High],11006,614,HPA:0450612,FALSE
HPA:0450612,0.0174729867624709,TRUE,7,1,1,HPA,skin; sebaceous cells[≥Medium],11006,613,HPA:0450611,FALSE
HPA:0450621,0.0199691277285347,TRUE,8,1,1,HPA,skin; secretory cells[≥Low],11006,615,HPA:0450000,FALSE
HPA:0450611,0.0199691277285347,TRUE,8,1,1,HPA,skin; sebaceous cells[≥Low],11006,612,HPA:0450000,FALSE
HPA:0450000,0.0324498325588689,TRUE,13,1,1,HPA,skin,11006,611,HPA:0000000,FALSE
WP:WP4853,0.0331262939958565,TRUE,6,1,1,WP,Linoleic acid metabolism affected by SARS-CoV-2,8625,576,WP:000000,FALSE
HPA:0020023,0.0424343964231302,TRUE,17,1,1,HPA,adrenal gland; cells in zona fasciculata[High],11006,9,HPA:0020022,FALSE
HPA:0020043,0.0424343964231302,TRUE,17,1,1,HPA,adrenal gland; cells in zona reticularis[High],11006,15,HPA:0020042,FALSE
HPA:0020041,0.0499228193213307,TRUE,20,1,1,HPA,adrenal gland; cells in zona reticularis[≥Low],11006,13,HPA:0020000,FALSE
HPA:0020022,0.0499228193213307,TRUE,20,1,1,HPA,adrenal gland; cells in zona fasciculata[≥Medium],11006,8,HPA:0020021,FALSE
HPA:0020042,0.0499228193213307,TRUE,20,1,1,HPA,adrenal gland; cells in zona reticularis[≥Medium],11006,14,HPA:0020041,FALSE
