term_id,p_values,significant,term_size,query_sizes,intersection_sizes,source,term_name,effective_domain_size,source_order,parents,highlighted
GO:0061881,0.0495795652862702,TRUE,1,1,1,GO:BP,positive regulation of anterograde axonal transport of mitochondrion,21010,16494,GO:0032388|GO:0061880|GO:0098957,TRUE
GO:0061880,0.0495795652862702,TRUE,1,1,1,GO:BP,regulation of anterograde axonal transport of mitochondrion,21010,16493,GO:0098957|GO:1902513,FALSE
CORUM:6043,0.0499316934433554,TRUE,2,1,1,CORUM,DISC-FEZ1-F-actin complex,3383,1860,CORUM:0000000,FALSE
CORUM:6041,0.0499316934433554,TRUE,2,1,1,CORUM,DISC1-FEZ1 complex,3383,1859,CORUM:0000000,FALSE
