"__glayCluster","interaction","KER","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
,"pp",,"9606.ENSP00000263851 (pp) 9606.ENSP00000499900","false","pp","9606.ENSP00000263851 (pp) 9606.ENSP00000499900","0.106",,"0.65",,,,,"0.965","0.9"
,"pp",,"9606.ENSP00000263851 (pp) 9606.ENSP00000231449","false","pp","9606.ENSP00000263851 (pp) 3565","0.086",,,,,,,"0.998","0.998"
,"pp",,"9606.ENSP00000263851 (pp) 9606.ENSP00000357470","false","pp","9606.ENSP00000263851 (pp) 3570","0.088",,"0.65",,,,,"0.908","0.736"
,"pp",,"9606.ENSP00000263851 (pp) 9606.ENSP00000369293","false","pp","9606.ENSP00000263851 (pp) 3559","0.056",,"0.65",,,,,"0.972","0.924"
,"pp",,"9606.ENSP00000263851 (pp) 9606.ENSP00000226730","false","pp","9606.ENSP00000263851 (pp) 3558","0.049",,,,,,,"0.997","0.997"
,"pp",,"9606.ENSP00000263851 (pp) 9606.ENSP00000229135","false","pp","9606.ENSP00000263851 (pp) 3458","0.141",,,,,,,"0.9","0.888"
,"pp",,"9606.ENSP00000263851 (pp) 9606.ENSP00000296870","false","pp","9606.ENSP00000263851 (pp) 3562",,,,,,,,"0.988","0.988"
,"pp",,"9606.ENSP00000263851 (pp) 9606.ENSP00000341208","false","pp","9606.ENSP00000263851 (pp) STAT5A","0.082",,"0.5",,,,,"0.965","0.93"
,"pp",,"9606.ENSP00000263851 (pp) 9606.ENSP00000296871","false","pp","9606.ENSP00000263851 (pp) 1437","0.086",,,,,,,"0.911","0.907"
,"pp",,"9606.ENSP00000263851 (pp) 9606.ENSP00000263341","false","pp","9606.ENSP00000263851 (pp) 3553","0.083",,,,,,,"0.909","0.905"
,"pp",,"9606.ENSP00000263851 (pp) 9606.ENSP00000274520","false","pp","9606.ENSP00000263851 (pp) 9606.ENSP00000274520",,,,,,,,"0.997","0.997"
,"pp",,"9606.ENSP00000263851 (pp) 9606.ENSP00000293328","false","pp","9606.ENSP00000263851 (pp) STAT5B","0.087",,"0.5",,,,,"0.962","0.925"
,"pp",,"9606.ENSP00000263851 (pp) 9606.ENSP00000412237","false","pp","9606.ENSP00000263851 (pp) 3586","0.049",,,,,,,"0.988","0.988"
"0","pp",,"9606.ENSP00000451211 (pp) 9606.ENSP00000300093","false","pp","9606.ENSP00000451211 (pp) PLK1","0.061",,"0.8","0.36",,,,"0.977","0.834"
,"pp",,"9606.ENSP00000451211 (pp) 9606.ENSP00000260383","false","pp","9606.ENSP00000451211 (pp) TUBGCP4","0.083",,"0.8","0.453",,,,"0.988","0.899"
,"pp",,"9606.ENSP00000451211 (pp) 9606.ENSP00000480316","false","pp","9606.ENSP00000451211 (pp) TUBGCP5","0.049",,"0.8","0.594",,,,"0.988","0.871"
,"pp",,"9606.ENSP00000451211 (pp) 9606.ENSP00000248846","false","pp","9606.ENSP00000451211 (pp) TUBGCP6","0.097",,"0.8","0.632",,,,"0.988","0.853"
,"pp",,"9606.ENSP00000451211 (pp) 9606.ENSP00000261965","false","pp","9606.ENSP00000451211 (pp) TUBGCP3","0.067",,"0.5","0.576",,,,"0.971","0.875"
"0","pp",,"9606.ENSP00000265038 (pp) 9606.ENSP00000371682","false","pp","9606.ENSP00000265038 (pp) 9606.ENSP00000371682","0.049",,"0.9",,,,,"0.9",
,"pp",,"9606.ENSP00000265038 (pp) 9606.ENSP00000352257","false","pp","9606.ENSP00000265038 (pp) 9606.ENSP00000352257",,,"0.9",,,,,"0.928","0.31"
"0","pp",,"9606.ENSP00000265038 (pp) 9606.ENSP00000352928","false","pp","9606.ENSP00000265038 (pp) 9606.ENSP00000352928",,,"0.9","0.421",,,,"0.939",
"0","pp",,"9606.ENSP00000265038 (pp) 9606.ENSP00000431926","false","pp","9606.ENSP00000265038 (pp) 55626",,,"0.9",,,,,"0.9","0.045"
,"pp",,"9606.ENSP00000265038 (pp) 9606.ENSP00000355958","false","pp","9606.ENSP00000265038 (pp) 9606.ENSP00000355958","0.085",,"0.9",,,,,"0.938","0.382"
,"pp",,"9606.ENSP00000265038 (pp) 9606.ENSP00000360682","false","pp","9606.ENSP00000265038 (pp) 9606.ENSP00000360682",,,"0.9",,,,,"0.9",
,"pp",,"9606.ENSP00000265038 (pp) 9606.ENSP00000461879","false","pp","9606.ENSP00000265038 (pp) POLR2A",,,"0.5","0.92",,,,"0.963","0.157"
"0","pp",,"9606.ENSP00000265038 (pp) 9606.ENSP00000216225","false","pp","9606.ENSP00000265038 (pp) RBX1","0.042",,"0.9","0.921",,,,"0.994","0.36"
,"pp",,"9606.ENSP00000265038 (pp) 9606.ENSP00000382218","false","pp","9606.ENSP00000265038 (pp) 9606.ENSP00000382218",,,"0.9",,,,,"0.9",
,"pp",,"9606.ENSP00000265038 (pp) 9606.ENSP00000421491","false","pp","9606.ENSP00000265038 (pp) 7518","0.151",,"0.9",,,,,"0.936","0.312"
,"pp",,"9606.ENSP00000265038 (pp) 9606.ENSP00000278616","false","pp","9606.ENSP00000265038 (pp) 472","0.042",,"0.9",,,,,"0.935","0.379"
,"pp",,"9606.ENSP00000265038 (pp) 9606.ENSP00000310008","false","pp","9606.ENSP00000265038 (pp) 9606.ENSP00000310008",,,"0.9",,,,,"0.9",
"0","pp",,"9606.ENSP00000265038 (pp) 9606.ENSP00000351147","false","pp","9606.ENSP00000265038 (pp) 9606.ENSP00000351147","0.049",,"0.9",,,,,"0.9",
"0","pp",,"9606.ENSP00000265038 (pp) 9606.ENSP00000348089","false","pp","9606.ENSP00000265038 (pp) ERCC6","0.067",,"0.5","0.986",,,,"0.999","0.991"
,"pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000378414","false","pp","9606.ENSP00000313933 (pp) 9606.ENSP00000378414","0.055",,"0.9","0.784",,,,"0.994","0.75"
"0","pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000397552","false","pp","9606.ENSP00000313933 (pp) 9606.ENSP00000397552","0.047",,"0.9","0.333",,,,"0.975","0.654"
,"pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000392617","false","pp","9606.ENSP00000313933 (pp) 9606.ENSP00000392617","0.068",,"0.9","0.068",,,,"0.945","0.447"
"0","pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000343896","false","pp","9606.ENSP00000313933 (pp) 9606.ENSP00000343896","0.048",,"0.9","0.298",,,,"0.974","0.665"
,"pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000490491","false","pp","9606.ENSP00000313933 (pp) 9606.ENSP00000490491","0.114",,"0.9",,,,,"0.951","0.497"
,"pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000323967","false","pp","9606.ENSP00000313933 (pp) 9606.ENSP00000323967","0.084",,"0.9",,,,,"0.955","0.553"
,"pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000349723","false","pp","9606.ENSP00000313933 (pp) BCL11B","0.049",,"0.9","0.058",,,,"0.908","0.103"
,"pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000449396","false","pp","9606.ENSP00000313933 (pp) 9606.ENSP00000449396","0.118",,"0.9","0.045",,,,"0.948","0.462"
,"pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000419765","false","pp","9606.ENSP00000313933 (pp) 9606.ENSP00000419765",,,"0.9","0.606",,,,"0.999","0.983"
,"pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000414516","false","pp","9606.ENSP00000313933 (pp) 9606.ENSP00000414516",,,"0.9",,,,,"0.931","0.344"
,"pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000379946","false","pp","9606.ENSP00000313933 (pp) 9606.ENSP00000379946","0.056",,"0.9",,,,,"0.974","0.754"
,"pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000371638","false","pp","9606.ENSP00000313933 (pp) 6595","0.136",,"0.9","0.426",,,,"0.967","0.415"
,"pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000496168","false","pp","9606.ENSP00000313933 (pp) 53335","0.056",,"0.9","0.058",,,,"0.916","0.168"
,"pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000411073","false","pp","9606.ENSP00000313933 (pp) BCL7B",,,"0.9",,,,,"0.965","0.666"
,"pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000340883","false","pp","9606.ENSP00000313933 (pp) 9606.ENSP00000340883",,,"0.9","0.046",,,,"0.945","0.479"
,"pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000445868","false","pp","9606.ENSP00000313933 (pp) 9606.ENSP00000445868",,,"0.9","0.703",,,,"0.983","0.479"
,"pp",,"9606.ENSP00000313933 (pp) 9606.ENSP00000369674","false","pp","9606.ENSP00000313933 (pp) 9606.ENSP00000369674",,,"0.9","0.669",,,,"0.988","0.67"
,"pp",,"9606.ENSP00000415436 (pp) 9606.ENSP00000387393","false","pp","9606.ENSP00000415436 (pp) KANSL1","0.048",,"0.8","0.974",,,,"0.999","0.877"
,"pp",,"9606.ENSP00000415436 (pp) 9606.ENSP00000406037","false","pp","9606.ENSP00000415436 (pp) 84148","0.06",,"0.8","0.384",,,,"0.967","0.752"
,"pp",,"9606.ENSP00000415436 (pp) 9606.ENSP00000349640","false","pp","9606.ENSP00000415436 (pp) MCRS1","0.157","0.264","0.8","0.402",,,,"0.999","0.993"
,"pp",,"9606.ENSP00000398368 (pp) 9606.ENSP00000501150","false","pp","3977 (pp) 5291",,,"0.9",,,,,"0.903","0.077"
,"pp",,"9606.ENSP00000303634 (pp) 9606.ENSP00000371532","false","pp","7804 (pp) 7436","0.042","0.057",,"0.322",,,,"0.958","0.94"
,"pp",,"9606.ENSP00000303634 (pp) 9606.ENSP00000392423","false","pp","7804 (pp) 5649","0.056",,,"0.96",,,,"0.998","0.954"
,"pp",,"9606.ENSP00000364003 (pp) 9606.ENSP00000495360","false","pp","9606.ENSP00000364003 (pp) CTNNB1",,,"0.8","0.783",,,,"0.992","0.834"
,"pp",,"9606.ENSP00000364003 (pp) 9606.ENSP00000262320","false","pp","9606.ENSP00000364003 (pp) AXIN1","0.103",,"0.8","0.8",,,,"0.999","0.995"
"0","pp",,"9606.ENSP00000364003 (pp) 9606.ENSP00000377245","false","pp","9606.ENSP00000364003 (pp) 9606.ENSP00000377245","0.049",,"0.4","0.629",,,,"0.978","0.909"
,"pp",,"9606.ENSP00000364003 (pp) 9606.ENSP00000257430","false","pp","9606.ENSP00000364003 (pp) 324",,,"0.8","0.971",,,,"0.998","0.732"
,"pp",,"9606.ENSP00000364003 (pp) 9606.ENSP00000324806","false","pp","9606.ENSP00000364003 (pp) 2932","0.067",,"0.8",,,,,"0.993","0.969"
,"pp",,"9606.ENSP00000218008 (pp) 9606.ENSP00000264399","false","pp","9606.ENSP00000218008 (pp) 9606.ENSP00000264399","0.055",,"0.9",,,,,"0.901",
,"pp",,"9606.ENSP00000218008 (pp) 9606.ENSP00000250111","false","pp","9606.ENSP00000218008 (pp) 9606.ENSP00000250111",,"0.068","0.9",,,,,"0.907","0.082"
,"pp",,"9606.ENSP00000218008 (pp) 9606.ENSP00000286371","false","pp","9606.ENSP00000218008 (pp) 9606.ENSP00000286371",,"0.071","0.9",,,,,"0.909","0.104"
