ke	ensembl
https://identifiers.org/aop.events/959	ENSG00000137509
https://identifiers.org/aop.events/959	ENSG00000123561
https://identifiers.org/aop.events/959	ENSG00000005022
https://identifiers.org/aop.events/959	ENSG00000180176
https://identifiers.org/aop.events/961	ENSG00000173599
https://identifiers.org/aop.events/961	ENSG00000123561
https://identifiers.org/aop.events/961	ENSG00000155380
https://identifiers.org/aop.events/961	ENSG00000112394
https://identifiers.org/aop.events/961	ENSG00000147100
https://identifiers.org/aop.events/961	ENSG00000005022
https://identifiers.org/aop.events/961	ENSG00000102100
https://identifiers.org/aop.events/961	ENSG00000084453
https://identifiers.org/aop.events/961	ENSG00000180176
https://identifiers.org/aop.events/961	ENSG00000118271
https://identifiers.org/aop.events/961	ENSG00000241635
https://identifiers.org/aop.events/961	ENSG00000167165
https://identifiers.org/aop.events/202	ENSG00000162711
https://identifiers.org/aop.events/202	ENSG00000166794
https://identifiers.org/aop.events/202	ENSG00000136869
https://identifiers.org/aop.events/202	ENSG00000089041
https://identifiers.org/aop.events/202	ENSG00000159713
https://identifiers.org/aop.events/986	ENSG00000164458
https://identifiers.org/aop.events/2024	ENSG00000154415
