PathwayID	source	target
WP2781	R-HSA-507927	R-HSA-1254284
WP4932	ENSG00000278540	ENSG00000278540
WP5406	ENSG00000205863	ENSG00000181092
WP5398	ENSG00000179915	ENSG00000169992
WP4657	ENSG00000129910	WP1793
WP4657	ENSG00000184436	ENSG00000278637
WP4657, WP5406	ENSG00000105695	ENSG00000040608
WP2781	R-HSA-1253284	R-HSA-1253293
WP5408	ENSG00000135577	WP4424
WP4657	ENSG00000099904	ENSG00000070831
WP4942	ENSG00000144554	ENSG00000198690
WP4906	ENSG00000163975	CHEBI:29033
WP5412	ENSG00000023287	ENSG00000085978
WP4657	P51449	ENSG00000133794
WP4657	ENSG00000183072	ENSG00000159251
WP4932	ENSG00000049541	ENSG00000132646
WP2781	ENSG00000117632	P16949
WP4657	ENSG00000099889	ENSG00000129910
WP2781	ENSG00000130203	R-HSA-9612240
WP2781	R-HSA-113595	R-HSA-1253293
WP3584	ENSG00000164985	ENSG00000155511
WP4932	ENSG00000106665	ENSG00000074054
WP4657	ENSG00000040608	WP4443
WP4905, WP5407	ENSG00000104067	ENSG00000105289
WP5408	ENSG00000103942	ENSG00000168959
WP4906	ENSG00000073598	ENSG00000187778
WP4657	ENSG00000100056	WP411
WP5407	ENSG00000187123	ENSG00000175344
WP4657	ENSG00000126467	ENSG00000126467
WP4657	ENSG00000099889	WP1793
WP5407	ENSG00000104067	ENSG00000198835
WP4932	ENSG00000086730	ENSG00000177885
WP4932	CHEBI:15355	CHEBI:15355
WP2781	R-HSA-1253326	R-HSA-1253328
WP2781	R-HSA-1252016	R-HSA-9612270
WP2781	R-HSA-1251980	R-HSA-1252016
WP4657	ENSG00000203618	ENSG00000185245
WP5402	ENSG00000173267	ENSG00000156970
WP4657	ENSG00000184436	ENSG00000141027
WP3584	ENSG00000164985	ENSG00000125675
WP4657	ENSG00000099899	WP3561
WP4657	ENSG00000237517	ENSG00000237517
WP2781	R-HSA-1253312	R-HSA-1253326
WP4905, WP5407	ENSG00000104067	ENSG00000119139
WP5407	ENSG00000104067	ENSG00000263155
WP5412	ENSG00000141510	ENSG00000023287
WP5346	ENSG00000136869	IPR000837
WP5402	ENSG00000185737	ENSG00000178568
WP4657	ENSG00000176692	ENSG00000176692
WP4657	O15547	WP4900
WP4942	ENSG00000113262	ENSG00000134160
WP4657	ENSG00000132155	ENSG00000132155
