Ensembl_source	Ensembl	CNVassociated	gLayCluster_target	gLayCluster	N_nodes	Publication_source	DisGeNET_source	WikiPathways_source	WikiPathways_CNV	WikiPathways_noCNV	summary_term
ENSG00000133112	ENSG00000133112		164	164	10	0	6	4	3	1	Synaptic signalling & cell junction
ENSG00000100664	ENSG00000100664		164	164	10	0	6	4	3	1	Synaptic signalling & cell junction
ENSG00000106682	ENSG00000106682	1	164	164	10	0	6	4	3	1	Synaptic signalling & cell junction
ENSG00000134001	ENSG00000134001		164	164	10	0	6	4	3	1	Synaptic signalling & cell junction
ENSG00000187258	ENSG00000187258		164	164	10	0	6	4	3	1	Synaptic signalling & cell junction
ENSG00000214285	ENSG00000214285		164	164	10	0	6	4	3	1	Synaptic signalling & cell junction
ENSG00000071462	ENSG00000071462	1	164	164	10	0	6	4	3	1	Synaptic signalling & cell junction
ENSG00000144895	ENSG00000144895	1	164	164	10	0	6	4	3	1	Synaptic signalling & cell junction
ENSG00000128512	ENSG00000128512		164	164	10	0	6	4	3	1	Synaptic signalling & cell junction
ENSG00000137154	ENSG00000137154		164	164	10	0	6	4	3	1	Synaptic signalling & cell junction
ENSG00000184916	ENSG00000184916		247	247	6	1	5	0	0	0	Notch signalling
ENSG00000153944	ENSG00000153944		247	247	6	1	5	0	0	0	Notch signalling
ENSG00000105245	ENSG00000105245		247	247	6	1	5	0	0	0	Notch signalling
ENSG00000204301	ENSG00000204301		247	247	6	1	5	0	0	0	Notch signalling
ENSG00000101384	ENSG00000101384		247	247	6	1	5	0	0	0	Notch signalling
ENSG00000071626	ENSG00000071626		247	247	6	1	5	0	0	0	Notch signalling
