"CNVassociated","Ensembl","fromDisGeNET","fromPublication","fromWikiPathways","gLayCluster","name","PathwayID","PathwayTitle","selected","shared name","snpID"
,"ENSG00000170345",,,"1","157","ENSG00000170345",,,"false","ENSG00000170345",
,"ENSG00000112062","1",,"1","157","ENSG00000112062",,,"false","ENSG00000112062",
,"ENSG00000167165",,,"1","189","ENSG00000167165",,,"false","ENSG00000167165",
"1","ENSG00000185532",,,"1","189","ENSG00000185532",,,"false","ENSG00000185532",
,,,,,,"WP4222","WP4222","Phosphodiesterases in neuronal function","false","WP4222",
,"ENSG00000089250","1",,"1","168","ENSG00000089250",,,"false","ENSG00000089250",
,"ENSG00000115252",,,"1","155","ENSG00000115252",,,"false","ENSG00000115252",
"1","ENSG00000095596",,,"1","189","ENSG00000095596",,,"false","ENSG00000095596",
,,,,,,"WP4657","WP4657","22q11.2 copy number variation syndrome","false","WP4657",
"1","ENSG00000070193",,,"1","157","ENSG00000070193",,,"false","ENSG00000070193",
"1","ENSG00000171791","1",,"1","157","ENSG00000171791",,,"false","ENSG00000171791",
"1","ENSG00000077782","1",,"1","157","ENSG00000077782",,,"false","ENSG00000077782",
"1","ENSG00000187553","1",,"1","189","ENSG00000187553",,,"false","ENSG00000187553",
"1","ENSG00000146648",,,"1","157","ENSG00000146648",,,"false","ENSG00000146648",
"1","ENSG00000133794",,,"1","175","ENSG00000133794",,,"false","ENSG00000133794",
"1","ENSG00000066468","1",,"1","157","ENSG00000066468",,,"false","ENSG00000066468",
"1","ENSG00000003137","1",,"1","189","ENSG00000003137",,,"false","ENSG00000003137",
"1","ENSG00000141510","1",,"1","157","ENSG00000141510",,,"false","ENSG00000141510",
"1","ENSG00000072310","1",,"1","187","ENSG00000072310",,,"false","ENSG00000072310",
"1","ENSG00000189056","1",,"1","157","ENSG00000189056",,,"false","ENSG00000189056",
"1","ENSG00000164690",,,"1","157","ENSG00000164690",,,"false","ENSG00000164690",
"1","ENSG00000100030","1",,"1","157","ENSG00000100030",,,"false","ENSG00000100030",
,,,,,,"WP4875","WP4875","Disruption of postsynaptic signaling by CNV","false","WP4875",
"1","ENSG00000162409",,,"1","187","ENSG00000162409",,,"false","ENSG00000162409",
,,,,,,"WP4905","WP4905","1q21.1 copy number variation syndrome","false","WP4905",
"1","ENSG00000168036","1",,"1","157","ENSG00000168036",,,"false","ENSG00000168036",
"1","ENSG00000091513","1",,"1","159","ENSG00000091513",,,"false","ENSG00000091513",
,,,,,,"WP4906","WP4906","3q29 copy number variation syndrome","false","WP4906",
"1","ENSG00000136997",,,"1","157","ENSG00000136997",,,"false","ENSG00000136997",
"1","ENSG00000100644",,,"1","157","ENSG00000100644",,,"false","ENSG00000100644",
"1","ENSG00000096717","1",,"1","175","ENSG00000096717",,,"false","ENSG00000096717",
"1","ENSG00000177606","1",,"1","157","ENSG00000177606",,,"false","ENSG00000177606",
"1","ENSG00000126561",,,"1","157","ENSG00000126561",,,"false","ENSG00000126561",
"1","ENSG00000188486","1",,"1","175","ENSG00000188486",,,"false","ENSG00000188486",
,,,,,,"WP4932","WP4932","7q11.23 copy number variation syndrome","false","WP4932",
"1","ENSG00000049541",,,"1","175","ENSG00000049541",,,"false","ENSG00000049541",
"1","ENSG00000026103","1",,"1","157","ENSG00000026103",,,"false","ENSG00000026103",
"1","ENSG00000139687",,,"1","175","ENSG00000139687",,,"false","ENSG00000139687",
"1","ENSG00000086730",,,"1","157","ENSG00000086730",,,"false","ENSG00000086730",
"1","ENSG00000094631",,,"1","175","ENSG00000094631",,,"false","ENSG00000094631",
"1","ENSG00000278540",,,"1","187","ENSG00000278540",,,"false","ENSG00000278540",
"1","ENSG00000271503",,,"1","157","ENSG00000271503",,,"false","ENSG00000271503",
,,,,,,"WP4942","WP4942","15q13.3 copy number variation syndrome","false","WP4942",
"1","ENSG00000144554",,,"1","175","ENSG00000144554",,,"false","ENSG00000144554",
"1","ENSG00000136869","1",,"1","157","ENSG00000136869",,,"false","ENSG00000136869",
,,,,,,"WP5346","WP5346","8p23.1 copy number variation syndrome","false","WP5346",
"1","ENSG00000164733",,,"1","157","ENSG00000164733",,,"false","ENSG00000164733",
"1","ENSG00000137462","1",,"1","157","ENSG00000137462",,,"false","ENSG00000137462",
"1","ENSG00000117984",,,"1","157","ENSG00000117984",,,"false","ENSG00000117984",
"1","ENSG00000144381",,,"1","157","ENSG00000144381",,,"false","ENSG00000144381",
"1","ENSG00000103126",,,"1","157","ENSG00000103126",,,"false","ENSG00000103126",
"1","ENSG00000109320",,,"1","157","ENSG00000109320",,,"false","ENSG00000109320",
,,,,,,"WP5402","WP5402","10q22q23 copy number variation","false","WP5402",
"1","ENSG00000089163",,,"1","189","ENSG00000089163",,,"false","ENSG00000089163",
"1","ENSG00000067560",,,"1","157","ENSG00000067560",,,"false","ENSG00000067560",
,,,,,,"WP5406","WP5406","13q12.12 copy number variation","false","WP5406",
"1","ENSG00000107643","1",,"1","157","ENSG00000107643",,,"false","ENSG00000107643",
"1","ENSG00000108823",,,"1","168","ENSG00000108823",,,"false","ENSG00000108823",
,,,,,,"WP5407","WP5407","15q11q13 copy number variation","false","WP5407",
"1","ENSG00000173039","1",,"1","157","ENSG00000173039",,,"false","ENSG00000173039",
"1","ENSG00000142192",,,"1","157","ENSG00000142192",,,"false","ENSG00000142192",
"1","ENSG00000138798","1",,"1","157","ENSG00000138798",,,"false","ENSG00000138798",
,,,,,,"WP5408","WP5408","15q25 copy number variation","false","WP5408",
,,,,,,"WP5412","WP5412","8q11.23 (RB1CC1) copy number variation","false","WP5412",
"1","ENSG00000232810","1",,"1","157","ENSG00000232810",,,"false","ENSG00000232810",
