gLayCluster	GO_Terms	GO_Pvals	Nodes	N_nodes	gLayCluster	WikiPathways_source	DisGeNET_source	Publication_source	gLayCluster	WikiPathways_CNV	WikiPathways_noCNV
152	Sterol regulatory element binding proteins SREBP signaling, Insulin resistance, nucleotide-activated protein kinase complex, AMP activated protein kinase signaling, cellular response to nutrient levels	8.43826832718885e-18, 1.71977793737914e-17, 1.06766012882679e-16, 1.3493960914149e-15, 7.32709232183955e-15	ENSG00000072310,ENSG00000278540,ENSG00000198911,ENSG00000106635,ENSG00000175727,ENSG00000162409,ENSG00000131791,ENSG00000106638,ENSG00000111725,ENSG00000106617,ENSG00000115592,ENSG00000127152,ENSG00000099917,ENSG00000009950,ENSG00000076555,ENSG00000181929,ENSG00000132356	17	152	15	0	2	152	15	0
153	synaptic vesicle priming, vesicle-mediated transport in synapse, secretory vesicle, synaptic vesicle cycle, presynapse	5.22391890448764e-14, 5.67028170369703e-13, 2.84340185537961e-12, 1.45304019187035e-11, 2.69946843334803e-11	ENSG00000108219,ENSG00000099940,ENSG00000117984,ENSG00000034053,ENSG00000070371,ENSG00000220205,ENSG00000140600,ENSG00000125967,ENSG00000159082,ENSG00000089169,ENSG00000132639,ENSG00000144381,ENSG00000065609,ENSG00000137845,ENSG00000198576,ENSG00000121552,ENSG00000099365,ENSG00000164733,ENSG00000144619,ENSG00000106089,ENSG00000142192,ENSG00000141367,ENSG00000136854,ENSG00000072134	24	153	21	0	3	153	19	2
158	B-WICH complex, nucleoplasm, 8q11 23 RB1CC1 copy number variation, enzyme binding, 7q11 23 copy number variation syndrome	3.06111267634678e-15, 4.46767751173705e-15, 9.03335844449249e-14, 1.82787268196616e-13, 2.41397963527896e-13	ENSG00000085978,ENSG00000143368,ENSG00000112130,ENSG00000101654,ENSG00000010671,ENSG00000114503,ENSG00000100401,ENSG00000139112,ENSG00000065978,ENSG00000120948,ENSG00000121691,ENSG00000175224,ENSG00000089280,ENSG00000161011,ENSG00000213024,ENSG00000124795,ENSG00000082512,ENSG00000184678,ENSG00000136937,ENSG00000132382,ENSG00000115524,ENSG00000164402,ENSG00000163950,ENSG00000177889,ENSG00000278637,ENSG00000169813,ENSG00000104765,ENSG00000113360,ENSG00000009954,ENSG00000132341,ENSG00000163961,ENSG00000138758,ENSG00000099901,ENSG00000127191,ENSG00000126581,ENSG00000083312,ENSG00000169612,ENSG00000156587,ENSG00000197879,ENSG00000099899,ENSG00000135829,ENSG00000188486,ENSG00000082898,ENSG00000186868,ENSG00000123395,ENSG00000165732,ENSG00000153147,ENSG00000165806,ENSG00000177169,ENSG00000180198,ENSG00000104626,ENSG00000184702,ENSG00000131323,ENSG00000142168,ENSG00000170296,ENSG00000131778,ENSG00000134748,ENSG00000164430,ENSG00000056558,ENSG00000023287,ENSG00000185345,ENSG00000094631,ENSG00000034713,ENSG00000169045,ENSG00000108424	65	158	63	0	4	158	54	9
160	dystrophin-associated glycoprotein complex, glycoprotein complex, 13q12 12 copy number variation, sarcolemma, Viral myocarditis	1.55238090434653e-26, 2.60866229095758e-25, 2.53273659312621e-23, 8.92869220390316e-21, 1.48054925854253e-20	ENSG00000101400,ENSG00000102683,ENSG00000123096,ENSG00000170624,ENSG00000173402,ENSG00000163069,ENSG00000108823,ENSG00000134769,ENSG00000198947,ENSG00000172164	10	160	10	0	1	160	10	0
161	radial spoke head, radial spoke, radial spoke head 3, radial spoke head 1, radial spoke 3	1.10894513683597e-13, 1.10965212512422e-10, 1.2250516926627e-09, 1.2250516926627e-09, 1.2250516926627e-09	ENSG00000172426,ENSG00000160188,ENSG00000111834,ENSG00000104941,ENSG00000130363	5	161	5	0	0	161	5	0
171	skeletal system development, ossification, BMP signaling pathway, response to BMP, cellular response to BMP stimulus	2.3541627750161e-07, 1.6942723567173e-05, 3.56634382955809e-05, 4.71657505823313e-05, 4.71657505823313e-05	ENSG00000090539,ENSG00000168487,ENSG00000107779,ENSG00000125845,ENSG00000105880,ENSG00000006377	6	171	6	0	0	171	4	2
172	15q11 2 copy number variation syndrome, equatorial microtubule organizing center, Gamma-tubulin complex, Prader Willi and Angelman syndrome, microtubule minus-end binding	1.20819328254696e-24, 9.0043622988882e-15, 2.37664127488942e-12, 4.42859203444659e-12, 3.55191848563156e-11	ENSG00000180370,ENSG00000102081,ENSG00000172757,ENSG00000137822,ENSG00000170113,ENSG00000275835,ENSG00000126216,ENSG00000106683,ENSG00000273749,ENSG00000140157,ENSG00000130640,ENSG00000137843,ENSG00000136238,ENSG00000130669,ENSG00000128159	15	172	14	0	1	172	14	0
190	ESCRT I complex, protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway, Synthesis And Processing Of GAG, GAGPOL Polyproteins, Membrane binding and targetting of GAG proteins, ESCRT complex	2.44988684049359e-22, 3.17154440402757e-20, 2.32106603678064e-19, 2.32106603678064e-19, 3.6625808265379e-19	ENSG00000167987,ENSG00000074319,ENSG00000141971,ENSG00000139722,ENSG00000176428,ENSG00000160948,ENSG00000155975	7	190	7	0	0	190	7	0
208	cAMP biosynthetic process, adenylate cyclase activity, Adenylate cyclase activating pathway, cyclase activity, phosphorus-oxygen lyase activity	3.32679482939954e-22, 6.03508426150065e-21, 8.11561551321899e-21, 6.13426221964414e-20, 1.82584510772939e-19	ENSG00000155897,ENSG00000138031,ENSG00000174233,ENSG00000164742,ENSG00000129467,ENSG00000162104,ENSG00000173175	7	208	7	0	0	208	0	7
221	superoxide-generating NAD(P)H oxidase activity, NADPH oxidase complex, oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor, superoxide anion generation, oxidoreductase activity, acting on NAD(P)H	6.50207927521262e-14, 7.66839583912287e-13, 1.12619047782256e-12, 9.76084224838356e-10, 1.00108442343011e-08	ENSG00000074771,ENSG00000007952,ENSG00000255346,ENSG00000126456,ENSG00000086991,ENSG00000136869,ENSG00000165168,ENSG00000165678	8	221	7	0	1	221	2	5
245	3',5'-cyclic-GMP phosphodiesterase activity, 3',5'-cyclic-nucleotide phosphodiesterase activity, cyclic-nucleotide phosphodiesterase activity, phosphoric diester hydrolase activity, Phosphodiesterases in neuronal function	3.13437270706075e-14, 4.72021604099026e-13, 7.05233859088671e-13, 3.15369473705354e-10, 7.62265904951891e-10	ENSG00000138735,ENSG00000132915,ENSG00000133256,ENSG00000185527,ENSG00000186642	5	245	5	0	0	245	0	5
