source	target	GO_term_matches
135	136	0
135	137	47
135	138	2
135	140	9
135	142	2
135	143	0
135	144	4
135	147	22
135	150	2
135	152	9
135	153	0
135	158	15
135	160	0
135	161	0
135	171	0
135	172	0
135	190	3
135	208	6
135	221	7
135	245	1
136	137	2
136	138	0
136	140	0
136	142	1
136	143	0
136	144	1
136	147	1
136	150	0
136	152	0
136	153	1
136	158	0
136	160	0
136	161	0
136	171	0
136	172	0
136	190	0
136	208	0
136	221	0
136	245	0
137	138	28
137	140	20
137	142	105
137	143	21
137	144	116
137	147	205
137	150	20
137	152	132
137	153	56
137	158	180
137	160	20
137	161	6
137	171	38
137	172	49
137	190	28
137	208	79
137	221	22
137	245	6
138	140	2
138	142	25
138	143	1
138	144	2
138	147	1
138	150	0
138	152	11
138	153	0
138	158	30
138	160	1
138	161	0
138	171	0
138	172	0
138	190	6
138	208	0
138	221	1
138	245	0
140	142	2
140	143	2
140	144	4
140	147	24
140	150	2
140	152	26
140	153	4
140	158	10
140	160	1
140	161	1
140	171	0
140	172	1
140	190	3
140	208	29
140	221	3
140	245	1
142	143	6
142	144	6
142	147	9
142	150	0
142	152	17
142	153	4
142	158	90
142	160	4
142	161	2
142	171	0
142	172	13
142	190	2
142	208	2
142	221	3
142	245	0
143	144	0
143	147	12
143	150	1
143	152	2
143	153	5
143	158	5
143	160	2
143	161	17
143	171	1
143	172	14
143	190	0
143	208	4
143	221	1
143	245	0
144	147	61
144	150	4
144	152	9
144	153	9
144	158	14
144	160	12
144	161	1
144	171	13
144	172	5
144	190	3
144	208	2
144	221	1
144	245	2
147	150	17
147	152	16
147	153	69
147	158	25
147	160	22
147	161	4
147	171	2
147	172	28
147	190	11
147	208	41
147	221	2
147	245	5
150	152	2
150	153	3
150	158	4
150	160	0
150	161	0
150	171	1
150	172	0
150	190	0
150	208	1
150	221	1
150	245	0
152	153	5
152	158	35
152	160	2
152	161	0
152	171	0
152	172	1
152	190	5
152	208	26
152	221	4
152	245	0
153	158	22
153	160	10
153	161	2
153	171	0
153	172	6
153	190	33
153	208	7
153	221	2
153	245	1
158	160	4
158	161	2
158	171	0
158	172	4
158	190	36
158	208	2
158	221	7
158	245	0
160	161	1
160	171	0
160	172	5
160	190	1
160	208	3
160	221	2
160	245	1
161	171	0
161	172	6
161	190	1
161	208	2
161	221	0
161	245	0
171	172	0
171	190	0
171	208	0
171	221	0
171	245	0
172	190	1
172	208	0
172	221	1
172	245	0
190	208	2
190	221	1
190	245	0
208	221	0
208	245	5
221	245	0
