Ensembl_source	Ensembl	CNVassociated	gLayCluster_target	gLayCluster	N_nodes	Publication_source	DisGeNET_source	WikiPathways_source	WikiPathways_CNV	WikiPathways_noCNV	summary_term
ENSG00000152422	ENSG00000152422		165	165	43	0	12	33	32	1	Synaptic junctions and signaling
ENSG00000049541	ENSG00000049541	1	165	165	43	0	12	33	32	1	Synaptic junctions and signaling
ENSG00000073050	ENSG00000073050		165	165	43	0	12	33	32	1	Synaptic junctions and signaling
ENSG00000149311	ENSG00000149311		165	165	43	0	12	33	32	1	Synaptic junctions and signaling
ENSG00000134852	ENSG00000134852		166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000133794	ENSG00000133794	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000082701	ENSG00000082701		166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000118971	ENSG00000118971		166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000048052	ENSG00000048052		166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000091831	ENSG00000091831		166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000012048	ENSG00000012048		166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000103126	ENSG00000103126	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000096717	ENSG00000096717	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000140009	ENSG00000140009		166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000110092	ENSG00000110092		166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000168036	ENSG00000168036	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000054598	ENSG00000054598	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000148737	ENSG00000148737		166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000180530	ENSG00000180530		166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000136997	ENSG00000136997	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000107643	ENSG00000107643	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000112062	ENSG00000112062		166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000186951	ENSG00000186951		166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000015475	ENSG00000015475		166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000170345	ENSG00000170345		166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000109320	ENSG00000109320	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000100030	ENSG00000100030	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000094631	ENSG00000094631	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000139687	ENSG00000139687	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000164733	ENSG00000164733	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000134982	ENSG00000134982		166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000117984	ENSG00000117984	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000141510	ENSG00000141510	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000100644	ENSG00000100644	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000116478	ENSG00000116478	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000102882	ENSG00000102882	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000141027	ENSG00000141027	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000171791	ENSG00000171791	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000177606	ENSG00000177606	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000188486	ENSG00000188486	1	166	166	232	13	112	143	114	29	Fibrin clot formation and metabolic processes
ENSG00000137154	ENSG00000137154		193	193	10	0	6	4	3	1	Citric acid cycle
