term_id,p_values,significant,term_size,query_sizes,intersection_sizes,source,term_name,effective_domain_size,source_order,parents,highlighted
GO:2001113,0.0495795652862702,TRUE,1,1,1,GO:BP,negative regulation of cellular response to hepatocyte growth factor stimulus,21010,27426,GO:0035729|GO:0090288|GO:2001112,TRUE
GO:1902203,0.0495795652862702,TRUE,1,1,1,GO:BP,negative regulation of hepatocyte growth factor receptor signaling pathway,21010,22989,GO:0009968|GO:0048012|GO:1902202,TRUE
