PathwayID	source	target
WP4906	ENSG00000174007	WP4536
WP4932	ENSG00000049541	ENSG00000132646
WP4932	ENSG00000161011	ENSG00000094631
WP4932	ENSG00000106683	ENSG00000172757
WP5407	CHEBI:27363	CHEBI:27363
WP4657	ENSG00000166851	ENSG00000166851
WP3584	ENSG00000169057	ENSG00000118260
WP4932	ENSG00000146755	ENSG00000094631
WP5407	ENSG00000187098	ENSG00000134160
WP4906	CHEBI:57379	CHEBI:57287
WP5398	ENSG00000179915	ENSG00000196338
WP3584	ENSG00000164985	ENSG00000125675
WP4906	ENSG00000177606	ENSG00000177606
WP5402	ENSG00000107779	ENSG00000143368
WP4906	ENSG00000174007	ENSG00000135837
WP5402	ENSG00000188373	ENSG00000154165
WP4657	ENSG00000107831	ENSG00000107831
WP5407	ENSG00000034053	ENSG00000142192
WP4657	P51449	ENSG00000133794
WP4657	ENSG00000184436	ENSG00000141027
WP4222	HMDB0001314	ENSG00000185532
WP4657	ENSG00000054598	ENSG00000054598
WP3584	ENSG00000169057	ENSG00000176697
WP5399	ENSG00000144061	ENSG00000119509
WP5408	CHEBI:17562	CHEBI:17562
WP5408	ENSG00000103942	ENSG00000135439
WP4932	ENSG00000049541	ENSG00000111445
WP4906	ENSG00000089159	ENSG00000137845
WP5408	ENSG00000103942	ENSG00000152822
WP5408	ENSG00000064726	ENSG00000198900
WP5346	ENSG00000244682	ENSG00000244682
WP5346	ENSG00000137462	WP400
WP5346	ENSG00000104643	ENSG00000139505
WP5402	ENSG00000122375	HMDB0002152
WP4906, WP5408	CHEBI:29999	CHEBI:83421
WP5346	ENSG00000173273	ENSG00000188175
WP4657	ENSG00000184058	ENSG00000112658
WP4657	ENSG00000099937	WP558
WP4657	CHEBI:6067	CHEBI:63795
WP4905	CHEBI:16991	WP1980
WP5346	ENSG00000164733	ENSG00000197747
WP3584	ENSG00000169057	ENSG00000065978
WP5402	CHEBI:18420	ENSG00000151224
WP5408	ENSG00000103942	ENSG00000198626
WP4657	ENSG00000184436	ENSG00000278637
WP5407	ENSG00000187123	ENSG00000175344
WP4222	ENSG00000072062	HMDB0000073
WP4932	ENSG00000165215	ENSG00000184113
WP4906	ENSG00000073598	ENSG00000065029
WP4906	ENSG00000214097	ENSG00000073598
WP5402	ENSG00000089163	ENSG00000148672
WP4906	ENSG00000186575	ENSG00000186575
WP4657	ENSG00000183072	ENSG00000164093
WP4906	ENSG00000078725	ENSG00000096717
WP4932	ENSG00000006704	ENSG00000037965
WP4657	ENSG00000128185	ENSG00000130669
WP5346	ENSG00000154328	WP4752
WP4932	ENSG00000263001	ENSG00000185532
WP4657	CHEBI:6067	ENSG00000184058
WP5408	ENSG00000132155	ENSG00000138798
WP5408	ENSG00000140600	ENSG00000159082
WP4657	CHEBI:8863	CHEBI:14321
WP3584	CHEBI:16865	ENSG00000111886
WP4906	CHEBI:295975	CHEBI:58779
WP4657	CHEBI:14321	CHEBI:28300
WP4906	ENSG00000174007	ENSG00000213066
WP4942	ENSG00000271503	ENSG00000119737
WP4657	ENSG00000112658	ENSG00000107796
WP4222	HMDB0000058	HMDB0003540
WP5346	ENSG00000205884	HMDB0254119
WP4906	71557891	ENSG00000180370
WP4657, WP5406	ENSG00000115310	ENSG00000040608
WP4657	ENSG00000184058	ENSG00000128918
WP5346	ENSG00000136574	ENSG00000089225
WP4905, WP5407	ENSG00000104067	ENSG00000152661
WP4906	ENSG00000073598	ENSG00000117461
WP4657	ENSG00000100056	WP411
WP4222	HMDB0000073	ENSG00000184845
WP5402	ENSG00000107779	ENSG00000015171
WP3584	11318905	ENSG00000140443
WP4932	ENSG00000106635	WP254
WP4657	ENSG00000184058	ENSG00000168505
WP5412	ENSG00000139687	ENSG00000139687
WP5407	ENSG00000104067	ENSG00000154639
WP4932	ENSG00000106682	WP1812
WP4657	ENSG00000185838	WP35
WP5407	ENSG00000034053	ENSG00000106089
WP4932	CHEBI:9168	ENSG00000077800
WP5408	ENSG00000140600	ENSG00000197386
WP5346	ENSG00000173273	ENSG00000181856
WP5346	ENSG00000258724	ENSG00000164362
WP3584	CHEBI:29987	ENSG00000128683
WP5346	ENSG00000117984	ENSG00000164733
WP5402	CHEBI:29103	ENSG00000151224
WP5407	ENSG00000166405	ENSG00000175344
WP5406	ENSG00000151835	ENSG00000124788
WP4906	ENSG00000073598	ENSG00000187778
WP5408	ENSG00000214575	ENSG00000121274
WP4906	CHEBI:29950	CHEBI:74151
WP5346	ENSG00000104643	ENSG00000003987
WP4932	CHEBI:15414	CHEBI:16680
WP5346	ENSG00000168036	WP3558
WP5346	ENSG00000136573	ENSG00000139515
WP4932	ENSG00000143627	ENSG00000143627
WP5402	CHEBI:29103	CHEBI:29103
WP5346	ENSG00000258724	ENSG00000147601
WP4657	ENSG00000099901	ENSG00000082898
WP4942	ENSG00000175344	CHEBI:15355
WP4932	ENSG00000106683	ENSG00000129757
WP5346	ENSG00000136573	ENSG00000163623
WP5346	ENSG00000173273	ENSG00000137497
WP4942	ENSG00000271503	ENSG00000271503
WP4222	ENSG00000185532	ENSG00000118260
WP4657	ENSG00000184702	ENSG00000184702
WP5412	ENSG00000023287	ENSG00000120899
WP4932	ENSG00000213024	ENSG00000094631
WP5407	ENSG00000034053	ENSG00000173039
WP4906	ENSG00000075711	ENSG00000155511
WP3584	ENSG00000164985	ENSG00000152578
WP5405	CHEBI:13115	CHEBI:57655
WP4906	ENSG00000072274	ENSG00000010704
WP4657	MIRT437986	ENSG00000149295
WP4657	ENSG00000126467	ENSG00000126467
WP5346	ENSG00000143226	ENSG00000143226
WP4657	ENSG00000129910	WP1793
WP4932	ENSG00000263001	ENSG00000136997
WP4932	ENSG00000146755	ENSG00000213024
WP4932	ENSG00000106665	ENSG00000163539
WP5402	ENSG00000148600	ENSG00000130368
WP4906	ENSG00000078725	ENSG00000078725
WP4657	ENSG00000111875	ENSG00000094916
WP4657	HMDB0002104	CHEBI:14321
WP5346	ENSG00000104626	CHEBI:18420
WP4657	ENSG00000176692	ENSG00000176692
WP4657	CHEBI:15035	CHEBI:6067
WP5408	ENSG00000103942	ENSG00000197959
WP4657	ENSG00000143365	P51449
WP4222	HMDB0003540	ENSG00000072062
WP4657	ENSG00000184058	ENSG00000164093
WP4932	P18640	ENSG00000106089
WP4932	P16104	CHEBI:82620
WP5407	ENSG00000104067	ENSG00000118900
WP5346	Q27132250	ENSG00000103126
WP3584	ENSG00000105880	ENSG00000128683
WP4222	HMDB0001397	HMDB0001314
WP3584	ENSG00000169045	ENSG00000169057
WP3584	ENSG00000169057	ENSG00000134748
WP5407	ENSG00000104067	IPR004000
WP4905	CHEBI:7794	CHEBI:30879
WP4932	ENSG00000163347	WP1793
WP4657	CHEBI:57880	CHEBI:58178
WP4657	MIMAT0000455	ENSG00000161671
WP4657	ENSG00000203618	ENSG00000185245
WP4932	ENSG00000049541	ENSG00000141867
WP4942	ENSG00000113262	ENSG00000134160
WP4657	ENSG00000099957	O15547
WP4657	CHEBI:6067	HMDB0006285
WP5412	ENSG00000023287	ENSG00000141580
WP4657	ENSG00000082898	Q994741
WP5405	CHEBI:38083	ENSG00000165475
WP5346	ENSG00000164733	ENSG00000121552
WP4905, WP5407	ENSG00000104067	ENSG00000119139
WP5408	CHEBI:16335	CHEBI:16335
WP4932	P16104	CHEBI:46858
WP4906	ENSG00000174007	ENSG00000079974
WP4942	Q1159221	ENSG00000175344
WP4657	CHEBI:18357	CHEBI:89951
WP408	50507	CHEBI:26523
WP4932	CHEBI:14321	CHEBI:14321
WP4657	ENSG00000100084	ENSG00000111875
WP5412	ENSG00000023287	ENSG00000169398
