identifier	identifier.source	target	target.source
CHEMBL170408	ChEMBL compound	34876	ChEBI
CHEMBL110739	ChEMBL compound	16827	ChEBI
CHEMBL1073	ChEMBL compound	5384	ChEBI
CHEMBL475251	ChEMBL compound	91348	ChEBI
CHEMBL1089	ChEMBL compound	8060	ChEBI
CHEMBL290376	ChEMBL compound	42142	ChEBI
CHEMBL1384554	ChEMBL compound	104989	ChEBI
CHEMBL1990885	ChEMBL compound	91430	ChEBI
CHEMBL259551	ChEMBL compound	91383	ChEBI
CHEMBL254760	ChEMBL compound	91393	ChEBI
CHEMBL305187	ChEMBL compound	93829	ChEBI
CHEMBL305195	ChEMBL compound	92897	ChEBI
CHEMBL343448	ChEMBL compound	61080	ChEBI
CHEMBL114275	ChEMBL compound	125632	ChEBI
CHEMBL356769	ChEMBL compound	94166	ChEBI
CHEMBL2105763	ChEMBL compound	94771	ChEBI
CHEMBL276140	ChEMBL compound	8978	ChEBI
CHEMBL2105717	ChEMBL compound	72317	ChEBI
CHEMBL1221601	ChEMBL compound	91739	ChEBI
CHEMBL296588	ChEMBL compound	7989	ChEBI
CHEMBL296586	ChEMBL compound	92658	ChEBI
CHEMBL438139	ChEMBL compound	66309	ChEBI
CHEMBL1116	ChEMBL compound	50740	ChEBI
CHEMBL1436121	ChEMBL compound	34902	ChEBI
CHEMBL96051	ChEMBL compound	92401	ChEBI
CHEMBL362558	ChEMBL compound	167661	ChEBI
CHEMBL1175	ChEMBL compound	36795	ChEBI
CHEMBL2177390	ChEMBL compound	95089	ChEBI
CHEMBL361259	ChEMBL compound	125531	ChEBI
CHEMBL1152	ChEMBL compound	8380	ChEBI
CHEMBL97450	ChEMBL compound	64149	ChEBI
CHEMBL108308	ChEMBL compound	80043	ChEBI
CHEMBL1408847	ChEMBL compound	76355	ChEBI
CHEMBL157337	ChEMBL compound	94776	ChEBI
CHEMBL374508	ChEMBL compound	30270	ChEBI
CHEMBL1589124	ChEMBL compound	109485	ChEBI
CHEMBL1908391	ChEMBL compound	63450	ChEBI
CHEMBL1331734	ChEMBL compound	114175	ChEBI
CHEMBL2001019	ChEMBL compound	91425	ChEBI
CHEMBL3237719	ChEMBL compound	145537	ChEBI
CHEMBL597477	ChEMBL compound	90371	ChEBI
CHEMBL180022	ChEMBL compound	61397	ChEBI
CHEMBL284237	ChEMBL compound	34725	ChEBI
CHEMBL253144	ChEMBL compound	28324	ChEBI
CHEMBL1197051	ChEMBL compound	91855	ChEBI
CHEMBL428690	ChEMBL compound	47344	ChEBI
CHEMBL1238	ChEMBL compound	48131	ChEBI
CHEMBL501867	ChEMBL compound	79401	ChEBI
CHEMBL85139	ChEMBL compound	8922	ChEBI
CHEMBL119385	ChEMBL compound	90528	ChEBI
CHEMBL512504	ChEMBL compound	91429	ChEBI
CHEMBL8739	ChEMBL compound	27432	ChEBI
CHEMBL379064	ChEMBL compound	6052	ChEBI
CHEMBL284328	ChEMBL compound	4883	ChEBI
CHEMBL1276308	ChEMBL compound	50692	ChEBI
CHEMBL260374	ChEMBL compound	81391	ChEBI
CHEMBL2143829	ChEMBL compound	91330	ChEBI
CHEMBL458347	ChEMBL compound	5371	ChEBI
CHEMBL608533	ChEMBL compound	63452	ChEBI
CHEMBL78012	ChEMBL compound	125592	ChEBI
CHEMBL1336	ChEMBL compound	50924	ChEBI
CHEMBL429852	ChEMBL compound	47417	ChEBI
CHEMBL85194	ChEMBL compound	8976	ChEBI
CHEMBL1370	ChEMBL compound	3207	ChEBI
CHEMBL2141296	ChEMBL compound	90942	ChEBI
CHEMBL1358	ChEMBL compound	31638	ChEBI
CHEMBL1554789	ChEMBL compound	52013	ChEBI
CHEMBL393525	ChEMBL compound	94827	ChEBI
CHEMBL2177161	ChEMBL compound	167652	ChEBI
CHEMBL107251	ChEMBL compound	90721	ChEBI
CHEMBL1390	ChEMBL compound	6715	ChEBI
CHEMBL494089	ChEMBL compound	90677	ChEBI
CHEMBL222102	ChEMBL compound	91372	ChEBI
CHEMBL410478	ChEMBL compound	79990	ChEBI
CHEMBL189963	ChEMBL compound	85993	ChEBI
CHEMBL1385514	ChEMBL compound	135670	ChEBI
CHEMBL388978	ChEMBL compound	15738	ChEBI
CHEMBL565612	ChEMBL compound	90531	ChEBI
CHEMBL328190	ChEMBL compound	135938	ChEBI
CHEMBL1445555	ChEMBL compound	88912	ChEBI
CHEMBL288441	ChEMBL compound	39112	ChEBI
CHEMBL6291	ChEMBL compound	38912	ChEBI
CHEMBL1423	ChEMBL compound	8212	ChEBI
CHEMBL1421	ChEMBL compound	49375	ChEBI
CHEMBL1547504	ChEMBL compound	107706	ChEBI
CHEMBL413376	ChEMBL compound	9364	ChEBI
CHEMBL1405	ChEMBL compound	17263	ChEBI
CHEMBL1329218	ChEMBL compound	94797	ChEBI
CHEMBL1451	ChEMBL compound	9667	ChEBI
CHEMBL1466	ChEMBL compound	4513	ChEBI
CHEMBL1428	ChEMBL compound	7575	ChEBI
CHEMBL1473	ChEMBL compound	31441	ChEBI
CHEMBL1300411	ChEMBL compound	116277	ChEBI
CHEMBL1484	ChEMBL compound	7550	ChEBI
CHEMBL1485	ChEMBL compound	16467	ChEBI
CHEMBL271669	ChEMBL compound	94994	ChEBI
CHEMBL1289494	ChEMBL compound	91327	ChEBI
CHEMBL31965	ChEMBL compound	61399	ChEBI
CHEMBL15023	ChEMBL compound	135662	ChEBI
CHEMBL1254766	ChEMBL compound	29133	ChEBI
CHEMBL295698	ChEMBL compound	47518	ChEBI
CHEMBL1970879	ChEMBL compound	91457	ChEBI
CHEMBL601719	ChEMBL compound	64310	ChEBI
CHEMBL272980	ChEMBL compound	94525	ChEBI
CHEMBL2312289	ChEMBL compound	90370	ChEBI
CHEMBL1236962	ChEMBL compound	95093	ChEBI
CHEMBL1504	ChEMBL compound	71418	ChEBI
CHEMBL1501	ChEMBL compound	5109	ChEBI
CHEMBL439849	ChEMBL compound	70707	ChEBI
CHEMBL1801948	ChEMBL compound	67555	ChEBI
CHEMBL3577124	ChEMBL compound	167662	ChEBI
CHEMBL1520	ChEMBL compound	46295	ChEBI
