PathwayID	source	target
WP5408	ENSG00000197696	ENSG00000135577
WP5408	CHEBI:58165	CHEBI:456215
WP5408	ENSG00000103942	ENSG00000150995
WP4657	ENSG00000054598	ENSG00000054598
WP4657	CHEBI:15035	CHEBI:6067
WP4657	ENSG00000100084	ENSG00000149929
WP5407	ENSG00000034053	ENSG00000125967
WP4905	CHEBI:7794	CHEBI:30879
WP2781	ENSG00000135222	P05814
WP5402	HMDB0001358	HMDB0002152
WP5408	CHEBI:30013	CHEBI:61977
WP5408	ENSG00000136383	http://rdf.wikipathways.org/Pathway/WP5408_r127198/WP/Interaction/ccf30
WP4906	ENSG00000161217	http://rdf.wikipathways.org/Pathway/WP4906_r123416/WP/Interaction/id71934d5a
WP4657	HMDB0002104	CHEBI:15893
WP5408	CHEBI:17748	CHEBI:17748
WP4932	ENSG00000189143	ENSG00000163347
WP2781	R-HSA-1251980	R-HSA-1253344
WP4932	CHEBI:61049	ENSG00000077800
WP4906	ENSG00000089159	ENSG00000137845
WP4932	PF03505	ENSG00000189143
WP2781	R-HSA-1251980	R-HSA-1254403
WP2781	ENSG00000113140	P09486
WP4657	ENSG00000184702	ENSG00000138758
WP4942, WP5407	ENSG00000169926	ENSG00000114166
WP2781	R-HSA-1236393	R-HSA-1977955
WP4657	ENSG00000099937	WP558
WP4657	ENSG00000184436	ENSG00000171720
WP4932	CHEBI:18357	CHEBI:18357
WP5408	ENSG00000121274	ENSG00000117394
WP5346	ENSG00000137462	WP400
WP5346	ENSG00000136573	ENSG00000163623
WP5346	ENSG00000258724	ENSG00000164362
WP4657	ENSG00000171791	WP254
WP4906	ENSG00000163960	ENSG00000100644
WP2781	R-HSA-1252016	R-HSA-1254397
WP4657	ENSG00000093010	http://rdf.wikipathways.org/Pathway/WP4657_r120007/WP/Interaction/f2e89
WP4932	ENSG00000171720	ENSG00000263001
WP4932	CHEBI:28790	CHEBI:28790
WP3584	ENSG00000169045	ENSG00000169057
WP2781	R-HSA-9612613	R-HSA-9612640
WP4932	ENSG00000263001	ENSG00000158773
WP4657	CHEBI:15893	HMDB0002104
WP5402	ENSG00000107779	ENSG00000143368
WP5408	ENSG00000073417	http://rdf.wikipathways.org/Pathway/WP5408_r127198/WP/Interaction/id31835f81
WP4906	ENSG00000161217	http://rdf.wikipathways.org/Pathway/WP4906_r123416/WP/Interaction/bc9d1
WP5412	ENSG00000023287	ENSG00000120899
WP4222	HMDB0001397	HMDB0001314
WP4932	ENSG00000144895	ENSG00000144895
WP5408	ENSG00000156222	http://rdf.wikipathways.org/Pathway/WP5408_r127198/WP/Interaction/id256f15c6
WP4932	ENSG00000146755	http://rdf.wikipathways.org/Pathway/WP4932_r126861/WP/Interaction/id5845412f
WP5406	ENSG00000151835	ENSG00000124788
WP4932	http://rdf.wikipathways.org/Pathway/WP4932_r126861/Complex/bc573	http://rdf.wikipathways.org/Pathway/WP4932_r126861/WP/Interaction/be34d
WP2781	ENSG00000131095	P14136
WP5408	ENSG00000156222	http://rdf.wikipathways.org/Pathway/WP5408_r127198/WP/Interaction/idf1bc0476
WP2781	R-HSA-8954176	http://rdf.wikipathways.org/Pathway/WP2781_r115045/WP/Interaction/ab52d
WP2781	P29353	R-HSA-1250359
WP2781	R-HSA-113595	R-HSA-1977297
WP2781	R-HSA-1253328	R-HSA-8954171
WP4657	ENSG00000184058	ENSG00000184058
WP2781	P46937	R-HSA-1253341
WP2781	R-HSA-1233235	R-HSA-9612575
WP5402	ENSG00000122378	http://rdf.wikipathways.org/Pathway/WP5402_r127208/WP/Interaction/id47054c50
WP5408	CHEBI:17562	CHEBI:17562
WP4932	ENSG00000026103	ENSG00000026103
WP4932	ENSG00000106635	WP254
WP4932	http://rdf.wikipathways.org/Pathway/WP4932_r126861/Complex/bc573	http://rdf.wikipathways.org/Pathway/WP4932_r126861/WP/Interaction/bc7e9
WP2781	R-HSA-1254397	R-HSA-8954210
WP2781	R-HSA-507927	R-HSA-1254284
WP4932	ENSG00000278540	ENSG00000278540
WP5406	ENSG00000205863	ENSG00000181092
WP5398	ENSG00000179915	ENSG00000169992
WP4657	ENSG00000129910	WP1793
WP4657	ENSG00000184436	ENSG00000278637
WP5408	ENSG00000156222	http://rdf.wikipathways.org/Pathway/WP5408_r127198/WP/Interaction/idbef66949
WP4657, WP5406	ENSG00000105695	ENSG00000040608
WP2781	R-HSA-1253284	R-HSA-1253293
WP5408	ENSG00000135577	WP4424
WP4657	ENSG00000093010	http://rdf.wikipathways.org/Pathway/WP4657_r120007/WP/Interaction/cfdff
WP4657	ENSG00000099904	ENSG00000070831
WP4942	ENSG00000144554	ENSG00000198690
WP4906	ENSG00000163975	CHEBI:29033
WP5412	ENSG00000023287	ENSG00000085978
WP4657	P51449	ENSG00000133794
WP4657	ENSG00000183072	ENSG00000159251
WP4932	ENSG00000049541	ENSG00000132646
WP4906	ENSG00000180370	http://rdf.wikipathways.org/Pathway/WP4906_r123416/WP/Interaction/idedc07923
WP2781	ENSG00000117632	P16949
WP4657	ENSG00000099889	ENSG00000129910
WP2781	ENSG00000130203	R-HSA-9612240
WP2781	R-HSA-113595	R-HSA-1253293
WP3584	ENSG00000164985	ENSG00000155511
WP4657	http://rdf.wikipathways.org/Pathway/WP4657_r120007/Complex/d5657	http://rdf.wikipathways.org/Pathway/WP4657_r120007/WP/Interaction/id2038c551
WP4932	ENSG00000106665	ENSG00000074054
WP4657	ENSG00000040608	WP4443
WP4905, WP5407	ENSG00000104067	ENSG00000105289
WP5408	ENSG00000103942	ENSG00000168959
WP4906	ENSG00000073598	ENSG00000187778
WP4657	ENSG00000100056	WP411
WP2781	R-HSA-1251963	http://rdf.wikipathways.org/Pathway/WP2781_r115045/WP/Interaction/e9880
WP5407	ENSG00000187123	ENSG00000175344
WP4657	ENSG00000126467	ENSG00000126467
WP4657	ENSG00000099889	WP1793
WP5407	ENSG00000104067	ENSG00000198835
WP4932	ENSG00000086730	ENSG00000177885
WP4932	CHEBI:15355	CHEBI:15355
WP2781	R-HSA-1253326	R-HSA-1253328
WP2781	R-HSA-1252016	R-HSA-9612270
WP2781	R-HSA-1251980	R-HSA-1252016
WP4657	ENSG00000100033	http://rdf.wikipathways.org/Pathway/WP4657_r120007/WP/Interaction/f1c62
WP4657	ENSG00000203618	ENSG00000185245
WP5402	ENSG00000173267	ENSG00000156970
WP4932	ENSG00000009950	http://rdf.wikipathways.org/Pathway/WP4932_r126861/WP/Interaction/id2a75442d
WP4657	ENSG00000184436	ENSG00000141027
WP5402	ENSG00000165678	http://rdf.wikipathways.org/Pathway/WP5402_r127208/WP/Interaction/idb12b5f83
WP3584	ENSG00000164985	ENSG00000125675
